instance,pmc_enum_time,maxsat_time
instances/ms_exp1_k_2_0.phy,0.313,0.075
instances/ms_exp1_k_2_1.phy,0.468,1.38
instances/ms_exp1_k_2_2.phy,0.794,0.456
instances/ms_exp1_k_2_3.phy,0.483,0.377
instances/ms_exp1_k_2_4.phy,0.396,0.06
instances/ms_exp1_k_2_5.phy,0.467,0.122
instances/ms_exp1_k_2_6.phy,0.246,0.041
instances/ms_exp1_k_2_7.phy,0.3,0.048
instances/ms_exp1_k_2_8.phy,0.319,0.146
instances/ms_exp1_k_2_9.phy,0.471,0.645
instances/ms_exp1_k_2_10.phy,0.373,0.144
instances/ms_exp1_k_2_11.phy,1.061,0.277
instances/ms_exp1_k_2_12.phy,0.287,0.141
instances/ms_exp1_k_2_13.phy,0.331,0.222
instances/ms_exp1_k_2_14.phy,0.3,0.065
instances/ms_exp1_k_2_15.phy,0.318,0.06
instances/ms_exp1_k_2_16.phy,0.423,0.063
instances/ms_exp1_k_2_17.phy,0.426,0.084
instances/ms_exp1_k_2_18.phy,0.432,1.365
instances/ms_exp1_k_2_19.phy,0.61,0.388
instances/ms_exp1_k_4_0.phy,0.78,0.044
instances/ms_exp1_k_4_1.phy,2.315,0.551
instances/ms_exp1_k_4_2.phy,13.272,3.801
instances/ms_exp1_k_4_3.phy,3.481,0.431
instances/ms_exp1_k_4_4.phy,1.118,0.093
instances/ms_exp1_k_4_5.phy,2.217,0.488
instances/ms_exp1_k_4_6.phy,0.675,0.049
instances/ms_exp1_k_4_7.phy,0.745,0.048
instances/ms_exp1_k_4_8.phy,1.824,0.341
instances/ms_exp1_k_4_9.phy,6.255,1.094
instances/ms_exp1_k_4_10.phy,3.872,0.671
instances/ms_exp1_k_4_11.phy,2.685,0.375
instances/ms_exp1_k_4_12.phy,0.899,0.065
instances/ms_exp1_k_4_13.phy,1.279,0.091
instances/ms_exp1_k_4_14.phy,3.711,0.251
instances/ms_exp1_k_4_15.phy,1.621,0.251
instances/ms_exp1_k_4_16.phy,0.864,0.268
instances/ms_exp1_k_4_17.phy,3.8,0.723
instances/ms_exp1_k_4_18.phy,3.476,0.442
instances/ms_exp1_k_4_19.phy,1.122,0.273
instances/ms_exp1_k_6_0.phy,3.017,0.504
instances/ms_exp1_k_6_1.phy,39.13,11.365
instances/ms_exp1_k_6_2.phy,1.434,0.068
instances/ms_exp1_k_6_3.phy,166.879,34.516
instances/ms_exp1_k_6_4.phy,57.134,9.897
instances/ms_exp1_k_6_5.phy,8.165,0.392
instances/ms_exp1_k_6_6.phy,3.038,0.31
instances/ms_exp1_k_6_7.phy,456.845,108.89
instances/ms_exp1_k_6_8.phy,8.63,0.781
instances/ms_exp1_k_6_9.phy,43.556,11.654
instances/ms_exp1_k_6_10.phy,-1.0,-1.0
instances/ms_exp1_k_6_11.phy,99.146,30.31
instances/ms_exp1_k_6_12.phy,14.93,1.343
instances/ms_exp1_k_6_13.phy,7.338,1.072
instances/ms_exp1_k_6_14.phy,37.033,6.261
instances/ms_exp1_k_6_15.phy,4.743,0.742
instances/ms_exp1_k_6_16.phy,132.975,51.572
instances/ms_exp1_k_6_17.phy,18.164,1.226
instances/ms_exp1_k_6_18.phy,1.018,0.041
instances/ms_exp1_k_6_19.phy,20.431,3.976
instances/ms_exp1_k_8_0.phy,3.595,0.222
instances/ms_exp1_k_8_1.phy,15.419,1.537
instances/ms_exp1_k_8_2.phy,3505.386,394.923
instances/ms_exp1_k_8_3.phy,68.492,8.609
instances/ms_exp1_k_8_4.phy,6.365,0.422
instances/ms_exp1_k_8_5.phy,500.317,37.358
instances/ms_exp1_k_8_6.phy,248.558,52.784
instances/ms_exp1_k_8_7.phy,83.203,10.344
instances/ms_exp1_k_8_8.phy,21.301,2.727
instances/ms_exp1_k_8_9.phy,649.111,81.24
instances/ms_exp1_k_8_10.phy,279.211,52.941
instances/ms_exp1_k_8_11.phy,24.962,2.455
instances/ms_exp1_k_8_12.phy,1071.919,239.4
instances/ms_exp1_k_8_13.phy,8.002,1.205
instances/ms_exp1_k_8_14.phy,165.478,16.587
instances/ms_exp1_k_8_15.phy,783.382,144.559
instances/ms_exp1_k_8_16.phy,287.401,54.108
instances/ms_exp1_k_8_17.phy,965.195,214.116
instances/ms_exp1_k_8_18.phy,26.689,2.553
instances/ms_exp1_k_8_19.phy,11.701,2.117
instances/ms_exp1_k_10_0.phy,881.456,103.658
instances/ms_exp1_k_10_1.phy,24.218,1.32
instances/ms_exp1_k_10_2.phy,441.713,82.85
instances/ms_exp1_k_10_3.phy,69.961,7.541
instances/ms_exp1_k_10_4.phy,2.982,0.319
instances/ms_exp1_k_10_5.phy,68.226,4.632
instances/ms_exp1_k_10_6.phy,412.255,43.637
instances/ms_exp1_k_10_7.phy,232.581,36.202
instances/ms_exp1_k_10_8.phy,46.059,5.949
instances/ms_exp1_k_10_9.phy,-1.0,-1.0
instances/ms_exp1_k_10_10.phy,116.842,31.837
instances/ms_exp1_k_10_11.phy,152.07,12.311
instances/ms_exp1_k_10_12.phy,346.229,59.432
instances/ms_exp1_k_10_13.phy,1.458,0.063
instances/ms_exp1_k_10_14.phy,1330.063,254.068
instances/ms_exp1_k_10_15.phy,1665.248,216.957
instances/ms_exp1_k_10_16.phy,196.744,28.172
instances/ms_exp1_k_10_17.phy,278.483,58.039
instances/ms_exp1_k_10_18.phy,2866.506,589.719
instances/ms_exp1_k_10_19.phy,618.185,102.92
instances/ms_exp1_k_12_0.phy,31.732,2.049
instances/ms_exp1_k_12_1.phy,91.659,4.779
instances/ms_exp1_k_12_2.phy,6142.067,262.739
instances/ms_exp1_k_12_3.phy,-1.0,-1.0
instances/ms_exp1_k_12_4.phy,196.458,15.586
instances/ms_exp1_k_12_5.phy,461.362,43.576
instances/ms_exp1_k_12_6.phy,284.164,12.163
instances/ms_exp1_k_12_7.phy,3818.064,382.263
instances/ms_exp1_k_12_8.phy,190.001,18.113
instances/ms_exp1_k_12_9.phy,77.939,6.425
instances/ms_exp1_k_12_10.phy,4188.441,370.8
instances/ms_exp1_k_12_11.phy,6517.964,-1.0
instances/ms_exp1_k_12_12.phy,-1.0,-1.0
instances/ms_exp1_k_12_13.phy,4210.755,416.957
instances/ms_exp1_k_12_14.phy,88.712,8.175
instances/ms_exp1_k_12_15.phy,58.688,12.178
instances/ms_exp1_k_12_16.phy,3199.268,188.78
instances/ms_exp1_k_12_17.phy,-1.0,-1.0
instances/ms_exp1_k_12_18.phy,641.154,35.724
instances/ms_exp1_k_12_19.phy,119.893,3.312
instances/ms_exp1_k_14_0.phy,2.081,0.099
instances/ms_exp1_k_14_1.phy,99.7,5.178
instances/ms_exp1_k_14_2.phy,-1.0,-1.0
instances/ms_exp1_k_14_3.phy,39.848,1.203
instances/ms_exp1_k_14_4.phy,1004.865,106.914
instances/ms_exp1_k_14_5.phy,792.874,119.668
instances/ms_exp1_k_14_6.phy,-1.0,-1.0
instances/ms_exp1_k_14_7.phy,112.381,16.327
instances/ms_exp1_k_14_8.phy,4065.014,239.914
instances/ms_exp1_k_14_9.phy,-1.0,-1.0
instances/ms_exp1_k_14_10.phy,578.504,36.039
instances/ms_exp1_k_14_11.phy,269.958,14.11
instances/ms_exp1_k_14_12.phy,5806.935,406.687
instances/ms_exp1_k_14_13.phy,978.828,86.359
instances/ms_exp1_k_14_14.phy,2725.769,440.428
instances/ms_exp1_k_14_15.phy,1767.503,129.322
instances/ms_exp1_k_14_16.phy,3734.584,236.568
instances/ms_exp1_k_14_17.phy,356.585,32.214
instances/ms_exp1_k_14_18.phy,1814.547,71.841
instances/ms_exp1_k_14_19.phy,-1.0,-1.0
instances/ms_exp1_k_16_0.phy,-1.0,-1.0
instances/ms_exp1_k_16_1.phy,14.543,1.882
instances/ms_exp1_k_16_2.phy,-1.0,-1.0
instances/ms_exp1_k_16_3.phy,-1.0,-1.0
instances/ms_exp1_k_16_4.phy,-1.0,-1.0
instances/ms_exp1_k_16_5.phy,509.592,58.248
instances/ms_exp1_k_16_6.phy,-1.0,-1.0
instances/ms_exp1_k_16_7.phy,3596.436,440.414
instances/ms_exp1_k_16_8.phy,2452.624,87.519
instances/ms_exp1_k_16_9.phy,5977.926,354.804
instances/ms_exp1_k_16_10.phy,-1.0,-1.0
instances/ms_exp1_k_16_11.phy,-1.0,-1.0
instances/ms_exp1_k_16_12.phy,10.745,0.874
instances/ms_exp1_k_16_13.phy,1557.454,19.03
instances/ms_exp1_k_16_14.phy,222.84,12.466
instances/ms_exp1_k_16_15.phy,12.443,0.44
instances/ms_exp1_k_16_16.phy,-1.0,-1.0
instances/ms_exp1_k_16_17.phy,-1.0,-1.0
instances/ms_exp1_k_16_18.phy,4922.962,139.108
instances/ms_exp1_k_16_19.phy,19.284,0.723
instances/ms_exp1_k_18_0.phy,-1.0,-1.0
instances/ms_exp1_k_18_1.phy,-1.0,-1.0
instances/ms_exp1_k_18_2.phy,6.913,0.231
instances/ms_exp1_k_18_3.phy,-1.0,-1.0
instances/ms_exp1_k_18_4.phy,3456.073,293.25
instances/ms_exp1_k_18_5.phy,104.017,1.341
instances/ms_exp1_k_18_6.phy,-1.0,-1.0
instances/ms_exp1_k_18_7.phy,222.513,3.275
instances/ms_exp1_k_18_8.phy,-1.0,-1.0
instances/ms_exp1_k_18_9.phy,7134.236,-1.0
instances/ms_exp1_k_18_10.phy,-1.0,-1.0
instances/ms_exp1_k_18_11.phy,-1.0,-1.0
instances/ms_exp1_k_18_12.phy,378.309,21.584
instances/ms_exp1_k_18_13.phy,389.19,6.007
instances/ms_exp1_k_18_14.phy,-1.0,-1.0
instances/ms_exp1_k_18_15.phy,162.678,10.804
instances/ms_exp1_k_18_16.phy,-1.0,-1.0
instances/ms_exp1_k_18_17.phy,-1.0,-1.0
instances/ms_exp1_k_18_18.phy,-1.0,-1.0
instances/ms_exp1_k_18_19.phy,-1.0,-1.0
instances/ms_exp1_k_20_0.phy,4465.721,188.272
instances/ms_exp1_k_20_1.phy,-1.0,-1.0
instances/ms_exp1_k_20_2.phy,-1.0,-1.0
instances/ms_exp1_k_20_3.phy,-1.0,-1.0
instances/ms_exp1_k_20_4.phy,-1.0,-1.0
instances/ms_exp1_k_20_5.phy,65.277,0.686
instances/ms_exp1_k_20_6.phy,-1.0,-1.0
instances/ms_exp1_k_20_7.phy,422.51,18.783
instances/ms_exp1_k_20_8.phy,-1.0,-1.0
instances/ms_exp1_k_20_9.phy,445.86,19.045
instances/ms_exp1_k_20_10.phy,-1.0,-1.0
instances/ms_exp1_k_20_11.phy,-1.0,-1.0
instances/ms_exp1_k_20_12.phy,-1.0,-1.0
instances/ms_exp1_k_20_13.phy,549.474,28.208
instances/ms_exp1_k_20_14.phy,-1.0,-1.0
instances/ms_exp1_k_20_15.phy,874.81,29.87
instances/ms_exp1_k_20_16.phy,-1.0,-1.0
instances/ms_exp1_k_20_17.phy,-1.0,-1.0
instances/ms_exp1_k_20_18.phy,142.686,11.76
instances/ms_exp1_k_20_19.phy,-1.0,-1.0
instances/ms_exp1_k_22_0.phy,1299.553,70.794
instances/ms_exp1_k_22_1.phy,-1.0,-1.0
instances/ms_exp1_k_22_2.phy,-1.0,-1.0
instances/ms_exp1_k_22_3.phy,-1.0,-1.0
instances/ms_exp1_k_22_4.phy,-1.0,-1.0
instances/ms_exp1_k_22_5.phy,124.764,9.764
instances/ms_exp1_k_22_6.phy,44.614,3.066
instances/ms_exp1_k_22_7.phy,-1.0,-1.0
instances/ms_exp1_k_22_8.phy,-1.0,-1.0
instances/ms_exp1_k_22_9.phy,6283.415,102.253
instances/ms_exp1_k_22_10.phy,-1.0,-1.0
instances/ms_exp1_k_22_11.phy,-1.0,-1.0
instances/ms_exp1_k_22_12.phy,3943.902,390.919
instances/ms_exp1_k_22_13.phy,-1.0,-1.0
instances/ms_exp1_k_22_14.phy,-1.0,-1.0
instances/ms_exp1_k_22_15.phy,-1.0,-1.0
instances/ms_exp1_k_22_16.phy,150.942,3.943
instances/ms_exp1_k_22_17.phy,6261.708,319.214
instances/ms_exp1_k_22_18.phy,-1.0,-1.0
instances/ms_exp1_k_22_19.phy,-1.0,-1.0
instances/ms_exp1_k_24_0.phy,-1.0,-1.0
instances/ms_exp1_k_24_1.phy,-1.0,-1.0
instances/ms_exp1_k_24_2.phy,-1.0,-1.0
instances/ms_exp1_k_24_3.phy,-1.0,-1.0
instances/ms_exp1_k_24_4.phy,-1.0,-1.0
instances/ms_exp1_k_24_5.phy,-1.0,-1.0
instances/ms_exp1_k_24_6.phy,-1.0,-1.0
instances/ms_exp1_k_24_7.phy,-1.0,-1.0
instances/ms_exp1_k_24_8.phy,-1.0,-1.0
instances/ms_exp1_k_24_9.phy,-1.0,-1.0
instances/ms_exp1_k_24_10.phy,-1.0,-1.0
instances/ms_exp1_k_24_11.phy,991.532,11.463
instances/ms_exp1_k_24_12.phy,-1.0,-1.0
instances/ms_exp1_k_24_13.phy,2674.205,70.706
instances/ms_exp1_k_24_14.phy,560.361,8.973
instances/ms_exp1_k_24_15.phy,-1.0,-1.0
instances/ms_exp1_k_24_16.phy,-1.0,-1.0
instances/ms_exp1_k_24_17.phy,933.635,23.914
instances/ms_exp1_k_24_18.phy,-1.0,-1.0
instances/ms_exp1_k_24_19.phy,263.441,6.769
instances/ms_exp1_k_26_0.phy,-1.0,-1.0
instances/ms_exp1_k_26_1.phy,822.338,9.637
instances/ms_exp1_k_26_2.phy,833.218,26.668
instances/ms_exp1_k_26_3.phy,-1.0,-1.0
instances/ms_exp1_k_26_4.phy,-1.0,-1.0
instances/ms_exp1_k_26_5.phy,-1.0,-1.0
instances/ms_exp1_k_26_6.phy,-1.0,-1.0
instances/ms_exp1_k_26_7.phy,-1.0,-1.0
instances/ms_exp1_k_26_8.phy,-1.0,-1.0
instances/ms_exp1_k_26_9.phy,429.103,18.341
instances/ms_exp1_k_26_10.phy,4252.268,192.549
instances/ms_exp1_k_26_11.phy,-1.0,-1.0
instances/ms_exp1_k_26_12.phy,-1.0,-1.0
instances/ms_exp1_k_26_13.phy,-1.0,-1.0
instances/ms_exp1_k_26_14.phy,-1.0,-1.0
instances/ms_exp1_k_26_15.phy,-1.0,-1.0
instances/ms_exp1_k_26_16.phy,313.046,7.479
instances/ms_exp1_k_26_17.phy,-1.0,-1.0
instances/ms_exp1_k_26_18.phy,781.23,8.861
instances/ms_exp1_k_26_19.phy,-1.0,-1.0
instances/ms_exp1_k_28_0.phy,-1.0,-1.0
instances/ms_exp1_k_28_1.phy,-1.0,-1.0
instances/ms_exp1_k_28_2.phy,-1.0,-1.0
instances/ms_exp1_k_28_3.phy,42.447,2.51
instances/ms_exp1_k_28_4.phy,-1.0,-1.0
instances/ms_exp1_k_28_5.phy,-1.0,-1.0
instances/ms_exp1_k_28_6.phy,155.267,2.764
instances/ms_exp1_k_28_7.phy,-1.0,-1.0
instances/ms_exp1_k_28_8.phy,-1.0,-1.0
instances/ms_exp1_k_28_9.phy,-1.0,-1.0
instances/ms_exp1_k_28_10.phy,-1.0,-1.0
instances/ms_exp1_k_28_11.phy,274.148,17.009
instances/ms_exp1_k_28_12.phy,2890.912,164.863
instances/ms_exp1_k_28_13.phy,1049.242,24.112
instances/ms_exp1_k_28_14.phy,-1.0,-1.0
instances/ms_exp1_k_28_15.phy,-1.0,-1.0
instances/ms_exp1_k_28_16.phy,-1.0,-1.0
instances/ms_exp1_k_28_17.phy,-1.0,-1.0
instances/ms_exp1_k_28_18.phy,33.898,0.537
instances/ms_exp1_k_28_19.phy,5127.867,76.715
instances/ms_exp1_k_30_0.phy,-1.0,-1.0
instances/ms_exp1_k_30_1.phy,-1.0,-1.0
instances/ms_exp1_k_30_2.phy,-1.0,-1.0
instances/ms_exp1_k_30_3.phy,-1.0,-1.0
instances/ms_exp1_k_30_4.phy,-1.0,-1.0
instances/ms_exp1_k_30_5.phy,35.541,0.904
instances/ms_exp1_k_30_6.phy,-1.0,-1.0
instances/ms_exp1_k_30_7.phy,-1.0,-1.0
instances/ms_exp1_k_30_8.phy,2399.571,47.59
instances/ms_exp1_k_30_9.phy,-1.0,-1.0
instances/ms_exp1_k_30_10.phy,-1.0,-1.0
instances/ms_exp1_k_30_11.phy,-1.0,-1.0
instances/ms_exp1_k_30_12.phy,-1.0,-1.0
instances/ms_exp1_k_30_13.phy,-1.0,-1.0
instances/ms_exp1_k_30_14.phy,-1.0,-1.0
instances/ms_exp1_k_30_15.phy,-1.0,-1.0
instances/ms_exp1_k_30_16.phy,-1.0,-1.0
instances/ms_exp1_k_30_17.phy,-1.0,-1.0
instances/ms_exp1_k_30_18.phy,-1.0,-1.0
instances/ms_exp1_k_30_19.phy,-1.0,-1.0
instances/ms_exp1_k_32_0.phy,-1.0,-1.0
instances/ms_exp1_k_32_1.phy,40.047,1.034
instances/ms_exp1_k_32_2.phy,-1.0,-1.0
instances/ms_exp1_k_32_3.phy,-1.0,-1.0
instances/ms_exp1_k_32_4.phy,-1.0,-1.0
instances/ms_exp1_k_32_5.phy,2239.973,15.086
instances/ms_exp1_k_32_6.phy,-1.0,-1.0
instances/ms_exp1_k_32_7.phy,-1.0,-1.0
instances/ms_exp1_k_32_8.phy,-1.0,-1.0
instances/ms_exp1_k_32_9.phy,-1.0,-1.0
instances/ms_exp1_k_32_10.phy,-1.0,-1.0
instances/ms_exp1_k_32_11.phy,-1.0,-1.0
instances/ms_exp1_k_32_12.phy,63.86,1.748
instances/ms_exp1_k_32_13.phy,-1.0,-1.0
instances/ms_exp1_k_32_14.phy,-1.0,-1.0
instances/ms_exp1_k_32_15.phy,-1.0,-1.0
instances/ms_exp1_k_32_16.phy,-1.0,-1.0
instances/ms_exp1_k_32_17.phy,-1.0,-1.0
instances/ms_exp1_k_32_18.phy,-1.0,-1.0
instances/ms_exp1_k_32_19.phy,-1.0,-1.0
instances/ms_exp1_k_34_0.phy,-1.0,-1.0
instances/ms_exp1_k_34_1.phy,-1.0,-1.0
instances/ms_exp1_k_34_2.phy,-1.0,-1.0
instances/ms_exp1_k_34_3.phy,-1.0,-1.0
instances/ms_exp1_k_34_4.phy,6.665,0.231
instances/ms_exp1_k_34_5.phy,-1.0,-1.0
instances/ms_exp1_k_34_6.phy,-1.0,-1.0
instances/ms_exp1_k_34_7.phy,1060.886,17.545
instances/ms_exp1_k_34_8.phy,-1.0,-1.0
instances/ms_exp1_k_34_9.phy,-1.0,-1.0
instances/ms_exp1_k_34_10.phy,-1.0,-1.0
instances/ms_exp1_k_34_11.phy,-1.0,-1.0
instances/ms_exp1_k_34_12.phy,-1.0,-1.0
instances/ms_exp1_k_34_13.phy,737.13,17.483
instances/ms_exp1_k_34_14.phy,-1.0,-1.0
instances/ms_exp1_k_34_15.phy,-1.0,-1.0
instances/ms_exp1_k_34_16.phy,-1.0,-1.0
instances/ms_exp1_k_34_17.phy,1681.264,15.962
instances/ms_exp1_k_34_18.phy,-1.0,-1.0
instances/ms_exp1_k_34_19.phy,-1.0,-1.0
instances/ms_exp1_k_36_0.phy,-1.0,-1.0
instances/ms_exp1_k_36_1.phy,-1.0,-1.0
instances/ms_exp1_k_36_2.phy,-1.0,-1.0
instances/ms_exp1_k_36_3.phy,-1.0,-1.0
instances/ms_exp1_k_36_4.phy,-1.0,-1.0
instances/ms_exp1_k_36_5.phy,-1.0,-1.0
instances/ms_exp1_k_36_6.phy,-1.0,-1.0
instances/ms_exp1_k_36_7.phy,-1.0,-1.0
instances/ms_exp1_k_36_8.phy,-1.0,-1.0
instances/ms_exp1_k_36_9.phy,-1.0,-1.0
instances/ms_exp1_k_36_10.phy,-1.0,-1.0
instances/ms_exp1_k_36_11.phy,-1.0,-1.0
instances/ms_exp1_k_36_12.phy,-1.0,-1.0
instances/ms_exp1_k_36_13.phy,-1.0,-1.0
instances/ms_exp1_k_36_14.phy,-1.0,-1.0
instances/ms_exp1_k_36_15.phy,-1.0,-1.0
instances/ms_exp1_k_36_16.phy,-1.0,-1.0
