instance,broken_chars,minsep_ip,bt-maxsat,bin_ip,pbo
instances/ms_exp1_k_2_0.phy,18,1.43,1.12,0.55,7200.0
instances/ms_exp1_k_2_1.phy,27,1.47,2.36,0.57,7200.0
instances/ms_exp1_k_2_2.phy,48,1.89,1.71,0.51,7200.0
instances/ms_exp1_k_2_3.phy,25,1.29,1.45,0.66,7200.0
instances/ms_exp1_k_2_4.phy,24,1.33,0.99,0.62,7200.0
instances/ms_exp1_k_2_5.phy,24,1.43,1.07,0.55,7200.0
instances/ms_exp1_k_2_6.phy,6,1.17,0.79,0.55,7200.0
instances/ms_exp1_k_2_7.phy,4,1.26,0.84,0.56,7200.0
instances/ms_exp1_k_2_8.phy,18,1.28,0.96,0.56,7200.0
instances/ms_exp1_k_2_9.phy,38,1.32,1.65,0.63,7200.0
instances/ms_exp1_k_2_10.phy,31,1.3,0.98,0.53,7200.0
instances/ms_exp1_k_2_11.phy,61,1.89,1.94,0.74,7200.0
instances/ms_exp1_k_2_12.phy,20,1.31,0.9,0.55,7200.0
instances/ms_exp1_k_2_13.phy,21,1.3,1.06,0.57,7200.0
instances/ms_exp1_k_2_14.phy,20,1.31,0.84,0.52,7200.0
instances/ms_exp1_k_2_15.phy,21,1.2,0.87,0.55,7200.0
instances/ms_exp1_k_2_16.phy,21,1.28,1.02,0.61,7200.0
instances/ms_exp1_k_2_17.phy,19,1.33,1.0,0.56,7200.0
instances/ms_exp1_k_2_18.phy,26,1.37,2.31,0.6,7200.0
instances/ms_exp1_k_2_19.phy,47,1.57,1.62,0.57,7200.0
instances/ms_exp1_k_4_0.phy,7,1.89,1.53,1.93,7200.0
instances/ms_exp1_k_4_1.phy,76,3.29,3.61,4.15,7200.0
instances/ms_exp1_k_4_2.phy,86,30.52,17.81,4.34,7200.0
instances/ms_exp1_k_4_3.phy,42,4.65,4.68,4.77,7200.0
instances/ms_exp1_k_4_4.phy,30,2.1,1.92,3.42,7200.0
instances/ms_exp1_k_4_5.phy,52,2.74,3.44,5.74,7200.0
instances/ms_exp1_k_4_6.phy,7,1.69,1.55,3.44,7200.0
instances/ms_exp1_k_4_7.phy,10,1.87,1.48,1.65,7200.0
instances/ms_exp1_k_4_8.phy,45,2.76,2.87,34.57,7200.0
instances/ms_exp1_k_4_9.phy,65,6.33,8.11,2.04,7200.0
instances/ms_exp1_k_4_10.phy,49,4.09,5.32,1.9,7200.0
instances/ms_exp1_k_4_11.phy,59,2.86,3.82,1.97,7200.0
instances/ms_exp1_k_4_12.phy,14,1.85,1.68,1.82,7200.0
instances/ms_exp1_k_4_13.phy,17,2.14,2.17,2.4,7200.0
instances/ms_exp1_k_4_14.phy,34,2.5,4.73,2.51,7200.0
instances/ms_exp1_k_4_15.phy,29,2.12,2.68,2.08,7200.0
instances/ms_exp1_k_4_16.phy,25,1.96,1.8,3.92,7200.0
instances/ms_exp1_k_4_17.phy,57,5.49,5.25,4.17,7200.0
instances/ms_exp1_k_4_18.phy,43,2.99,4.69,2.15,7200.0
instances/ms_exp1_k_4_19.phy,44,2.33,1.98,2.9,7200.0
instances/ms_exp1_k_6_0.phy,52,5.5,4.26,50.08,7200.0
instances/ms_exp1_k_6_1.phy,82,110.3,51.28,20.4,7200.0
instances/ms_exp1_k_6_2.phy,7,2.53,2.25,7.18,7200.0
instances/ms_exp1_k_6_3.phy,90,709.0,202.27,7200.0,7200.0
instances/ms_exp1_k_6_4.phy,73,116.77,67.84,7200.0,7200.0
instances/ms_exp1_k_6_5.phy,25,5.26,9.31,12.99,7200.0
instances/ms_exp1_k_6_6.phy,52,3.84,4.12,176.61,7200.0
instances/ms_exp1_k_6_7.phy,102,7200.0,566.63,80.45,7200.0
instances/ms_exp1_k_6_8.phy,52,5.66,10.16,146.27,7200.0
instances/ms_exp1_k_6_9.phy,89,133.73,55.97,189.93,7200.0
instances/ms_exp1_k_6_10.phy,133,7200.0,7200.0,52.36,7200.0
instances/ms_exp1_k_6_11.phy,90,251.25,130.27,189.56,7200.0
instances/ms_exp1_k_6_12.phy,61,11.44,17.04,154.81,7200.0
instances/ms_exp1_k_6_13.phy,65,7.17,9.15,115.43,7200.0
instances/ms_exp1_k_6_14.phy,77,48.38,44.16,13.07,7200.0
instances/ms_exp1_k_6_15.phy,63,5.46,6.24,10.3,7200.0
instances/ms_exp1_k_6_16.phy,105,1766.79,185.41,3.17,7200.0
instances/ms_exp1_k_6_17.phy,47,13.94,20.16,12.65,7200.0
instances/ms_exp1_k_6_18.phy,2,2.42,1.77,143.95,7200.0
instances/ms_exp1_k_6_19.phy,82,17.93,25.19,15.53,7200.0
instances/ms_exp1_k_8_0.phy,35,3.38,4.63,55.09,7200.0
instances/ms_exp1_k_8_1.phy,29,14.77,17.75,7200.0,7200.0
instances/ms_exp1_k_8_2.phy,83,7200.0,3901.41,23.59,7200.0
instances/ms_exp1_k_8_3.phy,84,67.27,77.9,11.67,7200.0
instances/ms_exp1_k_8_4.phy,13,4.94,7.56,203.76,7200.0
instances/ms_exp1_k_8_5.phy,80,5329.17,538.57,7200.0,7200.0
instances/ms_exp1_k_8_6.phy,94,3928.73,302.23,7200.0,7200.0
instances/ms_exp1_k_8_7.phy,70,155.42,94.37,57.91,7200.0
instances/ms_exp1_k_8_8.phy,63,16.19,24.84,619.1,7200.0
instances/ms_exp1_k_8_9.phy,87,7200.0,731.36,7200.0,7200.0
instances/ms_exp1_k_8_10.phy,96,1482.2,333.11,56.59,7200.0
instances/ms_exp1_k_8_11.phy,55,20.56,28.2,6070.97,7200.0
instances/ms_exp1_k_8_12.phy,94,7200.0,1312.46,342.96,7200.0
instances/ms_exp1_k_8_13.phy,59,16.16,10.07,114.19,7200.0
instances/ms_exp1_k_8_14.phy,74,321.91,182.88,309.78,7200.0
instances/ms_exp1_k_8_15.phy,90,7200.0,929.0,14.25,7200.0
instances/ms_exp1_k_8_16.phy,88,1363.77,342.43,7200.0,7200.0
instances/ms_exp1_k_8_17.phy,100,7200.0,1180.3,1739.48,7200.0
instances/ms_exp1_k_8_18.phy,64,20.96,30.02,252.02,7200.0
instances/ms_exp1_k_8_19.phy,66,18.3,14.58,16.9,7200.0
instances/ms_exp1_k_10_0.phy,83,7200.0,986.11,7200.0,7200.0
instances/ms_exp1_k_10_1.phy,34,19.19,26.42,29.61,7200.0
instances/ms_exp1_k_10_2.phy,76,3301.36,525.53,19.99,7200.0
instances/ms_exp1_k_10_3.phy,46,92.62,78.31,148.83,7200.0
instances/ms_exp1_k_10_4.phy,42,3.76,4.06,7200.0,7200.0
instances/ms_exp1_k_10_5.phy,33,55.22,73.69,316.62,7200.0
instances/ms_exp1_k_10_6.phy,91,2723.67,456.81,7200.0,7200.0
instances/ms_exp1_k_10_7.phy,80,1204.69,269.66,160.54,7200.0
instances/ms_exp1_k_10_8.phy,69,60.52,53.01,7200.0,7200.0
instances/ms_exp1_k_10_9.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_k_10_10.phy,79,457.59,149.52,7200.0,7200.0
instances/ms_exp1_k_10_11.phy,71,211.71,165.3,7200.0,7200.0
instances/ms_exp1_k_10_12.phy,99,2697.67,406.61,7200.0,7200.0
instances/ms_exp1_k_10_13.phy,10,2.76,2.3,1059.58,7200.0
instances/ms_exp1_k_10_14.phy,111,7200.0,1585.16,15.32,7200.0
instances/ms_exp1_k_10_15.phy,95,7200.0,1883.43,7200.0,7200.0
instances/ms_exp1_k_10_16.phy,71,2956.15,225.76,17.55,7200.0
instances/ms_exp1_k_10_17.phy,87,1003.46,337.43,605.34,7200.0
instances/ms_exp1_k_10_18.phy,106,7200.0,3457.6,7200.0,7200.0
instances/ms_exp1_k_10_19.phy,101,7200.0,722.04,7200.0,7200.0
instances/ms_exp1_k_12_0.phy,57,18.27,34.59,7200.0,7200.0
instances/ms_exp1_k_12_1.phy,22,113.6,97.28,36.59,7200.0
instances/ms_exp1_k_12_2.phy,77,7200.0,6405.87,7200.0,7200.0
instances/ms_exp1_k_12_3.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_k_12_4.phy,59,225.22,212.91,7200.0,7200.0
instances/ms_exp1_k_12_5.phy,81,2523.18,505.86,14.62,7200.0
instances/ms_exp1_k_12_6.phy,51,506.64,297.24,7200.0,7200.0
instances/ms_exp1_k_12_7.phy,87,7200.0,4201.74,7200.0,7200.0
instances/ms_exp1_k_12_8.phy,62,295.77,209.11,7200.0,7200.0
instances/ms_exp1_k_12_9.phy,30,115.36,85.22,7200.0,7200.0
instances/ms_exp1_k_12_10.phy,71,7200.0,4560.55,7200.0,7200.0
instances/ms_exp1_k_12_11.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_k_12_12.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_k_12_13.phy,93,7200.0,4628.94,7200.0,7200.0
instances/ms_exp1_k_12_14.phy,67,147.06,97.74,7200.0,7200.0
instances/ms_exp1_k_12_15.phy,76,62.19,71.69,7200.0,7200.0
instances/ms_exp1_k_12_16.phy,59,7200.0,3389.42,7200.0,7200.0
instances/ms_exp1_k_12_17.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_k_12_18.phy,59,7200.0,677.89,1347.42,7200.0
instances/ms_exp1_k_12_19.phy,18,61.15,124.08,7200.0,7200.0
instances/ms_exp1_k_14_0.phy,21,2.87,2.95,89.94,7200.0
instances/ms_exp1_k_14_1.phy,30,269.22,105.74,7200.0,7200.0
instances/ms_exp1_k_14_2.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_k_14_3.phy,7,23.96,41.91,7200.0,7200.0
instances/ms_exp1_k_14_4.phy,80,7200.0,1112.84,149.0,7200.0
instances/ms_exp1_k_14_5.phy,77,7200.0,913.55,7200.0,7200.0
instances/ms_exp1_k_14_6.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_k_14_7.phy,77,456.3,129.61,7200.0,7200.0
instances/ms_exp1_k_14_8.phy,64,7200.0,4306.32,7200.0,7200.0
instances/ms_exp1_k_14_9.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_k_14_10.phy,55,2393.84,615.6,7200.0,7200.0
instances/ms_exp1_k_14_11.phy,27,292.77,284.99,7200.0,7200.0
instances/ms_exp1_k_14_12.phy,85,7200.0,6215.27,961.26,7200.0
instances/ms_exp1_k_14_13.phy,47,7200.0,1066.25,7200.0,7200.0
instances/ms_exp1_k_14_14.phy,85,7200.0,3167.3,7200.0,7200.0
instances/ms_exp1_k_14_15.phy,90,7200.0,1897.91,7200.0,7200.0
instances/ms_exp1_k_14_16.phy,77,7200.0,3972.45,7200.0,7200.0
instances/ms_exp1_k_14_17.phy,67,1075.09,389.77,7200.0,7200.0
instances/ms_exp1_k_14_18.phy,38,6375.68,1887.72,7200.0,7200.0
instances/ms_exp1_k_14_19.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_k_16_0.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_k_16_1.phy,42,32.09,17.24,7200.0,7200.0
instances/ms_exp1_k_16_2.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_k_16_3.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_k_16_4.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_k_16_5.phy,97,3147.5,568.82,7200.0,7200.0
instances/ms_exp1_k_16_6.phy,-1,7200.0,7200.0,7200.0,7200.0
