instance,pmc_enum_time,maxsat_time
instances/ms_exp1_n_20_0.phy,0.013,0.057
instances/ms_exp1_n_20_1.phy,0.01,0.045
instances/ms_exp1_n_20_2.phy,0.002,0.034
instances/ms_exp1_n_20_3.phy,0.001,0.038
instances/ms_exp1_n_20_4.phy,0.001,0.032
instances/ms_exp1_n_20_5.phy,0.001,0.036
instances/ms_exp1_n_20_6.phy,0.001,0.038
instances/ms_exp1_n_20_7.phy,0.004,0.04
instances/ms_exp1_n_20_8.phy,0.004,0.038
instances/ms_exp1_n_20_9.phy,0.001,0.035
instances/ms_exp1_n_20_10.phy,0.001,0.036
instances/ms_exp1_n_20_11.phy,0.001,0.039
instances/ms_exp1_n_20_12.phy,0.001,0.037
instances/ms_exp1_n_20_13.phy,0.004,0.037
instances/ms_exp1_n_20_14.phy,0.003,0.035
instances/ms_exp1_n_20_15.phy,0.003,0.032
instances/ms_exp1_n_20_16.phy,0.003,0.032
instances/ms_exp1_n_20_17.phy,0.001,0.033
instances/ms_exp1_n_20_18.phy,0.001,0.032
instances/ms_exp1_n_20_19.phy,0.002,0.032
instances/ms_exp1_n_40_0.phy,0.641,0.231
instances/ms_exp1_n_40_1.phy,0.152,0.124
instances/ms_exp1_n_40_2.phy,0.019,0.031
instances/ms_exp1_n_40_3.phy,0.031,0.04
instances/ms_exp1_n_40_4.phy,0.015,0.035
instances/ms_exp1_n_40_5.phy,0.042,0.051
instances/ms_exp1_n_40_6.phy,0.029,0.08
instances/ms_exp1_n_40_7.phy,0.168,0.07
instances/ms_exp1_n_40_8.phy,0.725,0.217
instances/ms_exp1_n_40_9.phy,0.075,0.066
instances/ms_exp1_n_40_10.phy,0.083,0.067
instances/ms_exp1_n_40_11.phy,0.004,0.037
instances/ms_exp1_n_40_12.phy,0.299,0.192
instances/ms_exp1_n_40_13.phy,0.027,0.043
instances/ms_exp1_n_40_14.phy,0.236,0.17
instances/ms_exp1_n_40_15.phy,0.118,0.095
instances/ms_exp1_n_40_16.phy,0.147,0.078
instances/ms_exp1_n_40_17.phy,0.144,0.097
instances/ms_exp1_n_40_18.phy,0.038,0.043
instances/ms_exp1_n_40_19.phy,0.035,0.043
instances/ms_exp1_n_60_0.phy,0.91,0.238
instances/ms_exp1_n_60_1.phy,0.264,0.131
instances/ms_exp1_n_60_2.phy,1.149,0.529
instances/ms_exp1_n_60_3.phy,0.225,0.193
instances/ms_exp1_n_60_4.phy,0.37,0.182
instances/ms_exp1_n_60_5.phy,10.729,0.986
instances/ms_exp1_n_60_6.phy,0.473,0.142
instances/ms_exp1_n_60_7.phy,2.003,1.028
instances/ms_exp1_n_60_8.phy,0.167,0.153
instances/ms_exp1_n_60_9.phy,7.13,2.584
instances/ms_exp1_n_60_10.phy,0.319,0.096
instances/ms_exp1_n_60_11.phy,0.327,0.132
instances/ms_exp1_n_60_12.phy,1.021,0.216
instances/ms_exp1_n_60_13.phy,0.145,0.062
instances/ms_exp1_n_60_14.phy,7.475,2.632
instances/ms_exp1_n_60_15.phy,0.977,0.33
instances/ms_exp1_n_60_16.phy,2.646,0.515
instances/ms_exp1_n_60_17.phy,0.317,0.177
instances/ms_exp1_n_60_18.phy,0.109,0.057
instances/ms_exp1_n_60_19.phy,16.656,2.267
instances/ms_exp1_n_80_0.phy,1.69,0.384
instances/ms_exp1_n_80_1.phy,0.092,0.039
instances/ms_exp1_n_80_2.phy,0.102,0.038
instances/ms_exp1_n_80_3.phy,213.211,41.624
instances/ms_exp1_n_80_4.phy,0.152,0.196
instances/ms_exp1_n_80_5.phy,3.144,0.363
instances/ms_exp1_n_80_6.phy,7.343,0.568
instances/ms_exp1_n_80_7.phy,35.7,2.664
