instance,broken_chars,minsep_ip,bt-maxsat,bin_ip,pbo
instances/ms_exp1_n_20_0.phy,0,0.02,0.11,86.05,7200.0
instances/ms_exp1_n_20_1.phy,1,0.03,0.08,14.28,7200.0
instances/ms_exp1_n_20_2.phy,0,0.02,0.06,0.01,0.2
instances/ms_exp1_n_20_3.phy,0,0.02,0.08,0.28,2.65
instances/ms_exp1_n_20_4.phy,0,0.02,0.06,0.03,1.7
instances/ms_exp1_n_20_5.phy,0,0.02,0.07,0.07,1.59
instances/ms_exp1_n_20_6.phy,0,0.02,0.08,0.03,0.37
instances/ms_exp1_n_20_7.phy,0,0.02,0.08,8.48,4710.65
instances/ms_exp1_n_20_8.phy,0,0.02,0.08,42.74,7200.0
instances/ms_exp1_n_20_9.phy,0,0.02,0.06,0.06,3.5
instances/ms_exp1_n_20_10.phy,0,0.02,0.08,0.04,0.84
instances/ms_exp1_n_20_11.phy,0,0.02,0.08,0.07,0.52
instances/ms_exp1_n_20_12.phy,0,0.02,0.07,0.03,0.66
instances/ms_exp1_n_20_13.phy,0,0.02,0.08,170.86,7200.0
instances/ms_exp1_n_20_14.phy,1,0.02,0.07,22.23,7200.0
instances/ms_exp1_n_20_15.phy,0,0.02,0.06,307.83,7200.0
instances/ms_exp1_n_20_16.phy,0,0.02,0.06,15.53,3110.13
instances/ms_exp1_n_20_17.phy,0,0.02,0.06,0.01,0.15
instances/ms_exp1_n_20_18.phy,0,0.02,0.05,0.06,0.74
instances/ms_exp1_n_20_19.phy,0,0.02,0.06,0.04,0.36
instances/ms_exp1_n_40_0.phy,2,2.54,0.91,33.85,7200.0
instances/ms_exp1_n_40_1.phy,5,0.23,0.31,7200.0,7200.0
instances/ms_exp1_n_40_2.phy,0,0.04,0.08,7200.0,7200.0
instances/ms_exp1_n_40_3.phy,0,0.06,0.12,7200.0,7200.0
instances/ms_exp1_n_40_4.phy,0,0.06,0.09,7200.0,7200.0
instances/ms_exp1_n_40_5.phy,2,0.07,0.13,598.03,7200.0
instances/ms_exp1_n_40_6.phy,3,0.07,0.16,7200.0,7200.0
instances/ms_exp1_n_40_7.phy,0,0.14,0.28,302.52,7200.0
instances/ms_exp1_n_40_8.phy,5,1.43,0.98,5.16,7200.0
instances/ms_exp1_n_40_9.phy,7,0.1,0.18,7200.0,7200.0
instances/ms_exp1_n_40_10.phy,2,0.1,0.19,2.37,7200.0
instances/ms_exp1_n_40_11.phy,0,0.04,0.09,555.8,7200.0
instances/ms_exp1_n_40_12.phy,5,1.84,0.54,7200.0,7200.0
instances/ms_exp1_n_40_13.phy,2,0.06,0.11,7200.0,7200.0
instances/ms_exp1_n_40_14.phy,11,1.05,0.44,1849.3,7200.0
instances/ms_exp1_n_40_15.phy,5,0.19,0.26,7200.0,7200.0
instances/ms_exp1_n_40_16.phy,0,0.17,0.27,1.46,7200.0
instances/ms_exp1_n_40_17.phy,0,0.37,0.28,7200.0,7200.0
instances/ms_exp1_n_40_18.phy,0,0.06,0.13,1401.37,7200.0
instances/ms_exp1_n_40_19.phy,1,0.07,0.12,4157.56,7200.0
instances/ms_exp1_n_60_0.phy,2,2.91,1.22,7.51,7200.0
instances/ms_exp1_n_60_1.phy,6,0.34,0.46,5.28,7200.0
instances/ms_exp1_n_60_2.phy,16,3.85,1.75,7200.0,7200.0
instances/ms_exp1_n_60_3.phy,17,0.54,0.49,7.22,7200.0
