instance,pmc_enum_time,maxsat_time
instances/ms_exp1_r_0.000000_0.phy,-1.0,-1.0
instances/ms_exp1_r_0.000000_1.phy,17.015,0.391
instances/ms_exp1_r_0.000000_2.phy,41.113,0.694
instances/ms_exp1_r_0.000000_3.phy,378.528,4.255
instances/ms_exp1_r_0.000000_4.phy,6.023,0.188
instances/ms_exp1_r_0.000000_5.phy,9.142,0.246
instances/ms_exp1_r_0.000000_6.phy,656.9,7.404
instances/ms_exp1_r_0.000000_7.phy,853.491,9.508
instances/ms_exp1_r_0.000000_8.phy,406.61,5.946
instances/ms_exp1_r_0.000000_9.phy,263.422,1.077
instances/ms_exp1_r_0.000000_10.phy,13.489,0.324
instances/ms_exp1_r_0.000000_11.phy,120.32,1.83
instances/ms_exp1_r_0.000000_12.phy,52.16,0.472
instances/ms_exp1_r_0.000000_13.phy,34.32,0.295
instances/ms_exp1_r_0.000000_14.phy,1113.259,19.959
instances/ms_exp1_r_0.000000_15.phy,6.8,0.103
instances/ms_exp1_r_0.000000_16.phy,779.731,6.998
instances/ms_exp1_r_0.000000_17.phy,2.577,0.084
instances/ms_exp1_r_0.000000_18.phy,5.088,0.129
instances/ms_exp1_r_0.000000_19.phy,1.893,0.056
instances/ms_exp1_r_0.200000_0.phy,915.629,-1.0
instances/ms_exp1_r_0.200000_1.phy,111.774,3.249
instances/ms_exp1_r_0.200000_2.phy,1347.481,10.287
instances/ms_exp1_r_0.200000_3.phy,99.358,3.589
instances/ms_exp1_r_0.200000_4.phy,2004.994,17.973
instances/ms_exp1_r_0.200000_5.phy,2205.872,32.033
instances/ms_exp1_r_0.200000_6.phy,1.901,0.07
instances/ms_exp1_r_0.200000_7.phy,2.141,0.059
instances/ms_exp1_r_0.200000_8.phy,69.796,0.51
instances/ms_exp1_r_0.200000_9.phy,10.065,0.211
instances/ms_exp1_r_0.200000_10.phy,124.591,3.466
instances/ms_exp1_r_0.200000_11.phy,1453.157,27.369
instances/ms_exp1_r_0.200000_12.phy,348.973,4.611
instances/ms_exp1_r_0.200000_13.phy,1.71,0.052
instances/ms_exp1_r_0.200000_14.phy,6.569,0.255
instances/ms_exp1_r_0.200000_15.phy,19.047,0.367
instances/ms_exp1_r_0.200000_16.phy,22.801,0.501
instances/ms_exp1_r_0.200000_17.phy,1859.503,10.697
instances/ms_exp1_r_0.200000_18.phy,69.994,1.134
instances/ms_exp1_r_0.200000_19.phy,241.8,2.128
instances/ms_exp1_r_0.400000_0.phy,422.964,8.512
instances/ms_exp1_r_0.400000_1.phy,251.576,26.157
instances/ms_exp1_r_0.400000_2.phy,171.062,3.35
instances/ms_exp1_r_0.400000_3.phy,159.413,2.192
instances/ms_exp1_r_0.400000_4.phy,6.257,0.172
instances/ms_exp1_r_0.400000_5.phy,55.783,0.369
instances/ms_exp1_r_0.400000_6.phy,2.287,0.081
instances/ms_exp1_r_0.400000_7.phy,516.237,6267.399
instances/ms_exp1_r_0.400000_8.phy,116.973,1.052
instances/ms_exp1_r_0.400000_9.phy,3.019,0.105
instances/ms_exp1_r_0.400000_10.phy,554.96,11.762
instances/ms_exp1_r_0.400000_11.phy,71.07,0.765
instances/ms_exp1_r_0.400000_12.phy,-1.0,-1.0
instances/ms_exp1_r_0.400000_13.phy,30.48,1.032
instances/ms_exp1_r_0.400000_14.phy,59.56,0.854
instances/ms_exp1_r_0.400000_15.phy,2133.563,14.683
instances/ms_exp1_r_0.400000_16.phy,41.908,1.556
instances/ms_exp1_r_0.400000_17.phy,4.773,0.221
instances/ms_exp1_r_0.400000_18.phy,3342.985,69.778
instances/ms_exp1_r_0.400000_19.phy,10.613,0.245
instances/ms_exp1_r_0.600000_0.phy,2866.684,21.706
instances/ms_exp1_r_0.600000_1.phy,2765.096,33.705
instances/ms_exp1_r_0.600000_2.phy,50.532,1.283
instances/ms_exp1_r_0.600000_3.phy,-1.0,-1.0
instances/ms_exp1_r_0.600000_4.phy,30.092,0.956
instances/ms_exp1_r_0.600000_5.phy,2.286,0.084
