instance,broken_chars,minsep_ip,bt-maxsat,bin_ip,pbo
instances/ms_exp1_r_0.000000_0.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_r_0.000000_1.phy,0,6.58,18.28,7200.0,7200.0
instances/ms_exp1_r_0.000000_2.phy,0,13.88,42.7,7200.0,7200.0
instances/ms_exp1_r_0.000000_3.phy,0,206.93,383.67,7200.0,7200.0
instances/ms_exp1_r_0.000000_4.phy,0,3.89,6.99,7200.0,7200.0
instances/ms_exp1_r_0.000000_5.phy,0,6.05,10.19,7200.0,7200.0
instances/ms_exp1_r_0.000000_6.phy,0,497.0,665.23,7200.0,7200.0
instances/ms_exp1_r_0.000000_7.phy,0,874.05,864.05,7200.0,7200.0
instances/ms_exp1_r_0.000000_8.phy,0,249.83,413.44,7200.0,7200.0
instances/ms_exp1_r_0.000000_9.phy,0,49.19,265.46,7200.0,7200.0
instances/ms_exp1_r_0.000000_10.phy,0,7.88,14.6,7200.0,7200.0
instances/ms_exp1_r_0.000000_11.phy,0,50.99,123.04,7200.0,7200.0
instances/ms_exp1_r_0.000000_12.phy,0,12.23,53.45,7200.0,7200.0
instances/ms_exp1_r_0.000000_13.phy,0,10.69,35.41,7200.0,7200.0
instances/ms_exp1_r_0.000000_14.phy,0,913.16,1134.18,7200.0,7200.0
instances/ms_exp1_r_0.000000_15.phy,0,4.43,7.71,7200.0,7200.0
instances/ms_exp1_r_0.000000_16.phy,0,495.5,787.67,7200.0,7200.0
instances/ms_exp1_r_0.000000_17.phy,0,3.64,3.43,7200.0,7200.0
instances/ms_exp1_r_0.000000_18.phy,0,4.32,6.0,7200.0,7200.0
instances/ms_exp1_r_0.000000_19.phy,0,1.33,2.72,7200.0,7200.0
instances/ms_exp1_r_0.200000_0.phy,0,390.69,7200.0,7200.0,7200.0
instances/ms_exp1_r_0.200000_1.phy,15,46.65,115.89,214.97,7200.0
instances/ms_exp1_r_0.200000_2.phy,0,915.14,1358.96,7200.0,7200.0
instances/ms_exp1_r_0.200000_3.phy,25,76.56,103.87,7200.0,7200.0
instances/ms_exp1_r_0.200000_4.phy,0,1661.21,2024.14,7200.0,7200.0
instances/ms_exp1_r_0.200000_5.phy,7,7200.0,2239.05,7200.0,7200.0
instances/ms_exp1_r_0.200000_6.phy,0,3.45,2.74,7200.0,7200.0
instances/ms_exp1_r_0.200000_7.phy,0,3.38,2.95,7200.0,7200.0
instances/ms_exp1_r_0.200000_8.phy,0,15.46,71.17,7200.0,7200.0
instances/ms_exp1_r_0.200000_9.phy,0,5.47,11.07,7200.0,7200.0
instances/ms_exp1_r_0.200000_10.phy,0,170.02,128.88,7200.0,7200.0
instances/ms_exp1_r_0.200000_11.phy,26,7200.0,1481.6,7200.0,7200.0
instances/ms_exp1_r_0.200000_12.phy,1,235.02,354.45,7200.0,7200.0
instances/ms_exp1_r_0.200000_13.phy,0,3.16,2.51,7200.0,7200.0
instances/ms_exp1_r_0.200000_14.phy,0,5.03,7.6,7200.0,7200.0
instances/ms_exp1_r_0.200000_15.phy,10,7.95,20.24,7200.0,7200.0
instances/ms_exp1_r_0.200000_16.phy,0,11.5,24.13,7200.0,7200.0
instances/ms_exp1_r_0.200000_17.phy,0,1465.03,1871.36,7200.0,7200.0
instances/ms_exp1_r_0.200000_18.phy,0,26.73,72.02,7200.0,7200.0
instances/ms_exp1_r_0.200000_19.phy,5,71.22,244.83,7200.0,7200.0
instances/ms_exp1_r_0.400000_0.phy,1,439.91,432.49,7200.0,7200.0
instances/ms_exp1_r_0.400000_1.phy,60,798.66,278.62,7200.0,7200.0
instances/ms_exp1_r_0.400000_2.phy,0,92.48,175.31,7200.0,7200.0
instances/ms_exp1_r_0.400000_3.phy,0,92.19,162.48,7200.0,7200.0
instances/ms_exp1_r_0.400000_4.phy,0,4.43,7.23,7200.0,7200.0
instances/ms_exp1_r_0.400000_5.phy,0,12.33,56.96,7200.0,7200.0
instances/ms_exp1_r_0.400000_6.phy,0,3.38,3.15,7200.0,7200.0
instances/ms_exp1_r_0.400000_7.phy,3,285.98,6784.45,7200.0,7200.0
instances/ms_exp1_r_0.400000_8.phy,0,29.58,118.86,7200.0,7200.0
instances/ms_exp1_r_0.400000_9.phy,0,3.51,3.92,7200.0,7200.0
instances/ms_exp1_r_0.400000_10.phy,9,489.96,567.63,7200.0,7200.0
instances/ms_exp1_r_0.400000_11.phy,0,19.65,72.62,7200.0,7200.0
instances/ms_exp1_r_0.400000_12.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_r_0.400000_13.phy,0,22.17,32.31,7200.0,7200.0
instances/ms_exp1_r_0.400000_14.phy,0,15.99,61.38,7200.0,7200.0
instances/ms_exp1_r_0.400000_15.phy,1,2187.9,2149.42,7200.0,7200.0
instances/ms_exp1_r_0.400000_16.phy,23,29.8,44.33,7200.0,7200.0
instances/ms_exp1_r_0.400000_17.phy,0,4.25,5.8,7200.0,7200.0
instances/ms_exp1_r_0.400000_18.phy,17,7200.0,3414.11,7200.0,7200.0
instances/ms_exp1_r_0.400000_19.phy,0,6.32,11.68,7200.0,7200.0
instances/ms_exp1_r_0.600000_0.phy,5,2815.93,2889.7,7200.0,7200.0
instances/ms_exp1_r_0.600000_1.phy,6,6505.2,2799.89,7200.0,7200.0
instances/ms_exp1_r_0.600000_2.phy,26,24.22,52.71,7200.0,7200.0
instances/ms_exp1_r_0.600000_3.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_r_0.600000_4.phy,22,12.44,31.93,7200.0,7200.0
instances/ms_exp1_r_0.600000_5.phy,1,3.52,3.15,7200.0,7200.0
instances/ms_exp1_r_0.600000_6.phy,0,4.68,8.25,7200.0,7200.0
instances/ms_exp1_r_0.600000_7.phy,3,116.17,357.34,7200.0,7200.0
instances/ms_exp1_r_0.600000_8.phy,0,10.09,20.53,7200.0,7200.0
instances/ms_exp1_r_0.600000_9.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_r_0.600000_10.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_r_0.600000_11.phy,16,3.95,4.42,7200.0,7200.0
instances/ms_exp1_r_0.600000_12.phy,50,170.62,112.62,194.91,7200.0
instances/ms_exp1_r_0.600000_13.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_r_0.600000_14.phy,9,4364.35,2136.76,7200.0,7200.0
instances/ms_exp1_r_0.600000_15.phy,0,3.12,2.82,2718.72,7200.0
instances/ms_exp1_r_0.600000_16.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_r_0.600000_17.phy,14,5.95,11.17,7200.0,7200.0
instances/ms_exp1_r_0.600000_18.phy,6,5.7,9.78,7200.0,7200.0
instances/ms_exp1_r_0.600000_19.phy,-1,7200.0,7200.0,7200.0,7200.0
instances/ms_exp1_r_0.800000_0.phy,47,7200.0,4335.98,7200.0,7200.0
instances/ms_exp1_r_0.800000_1.phy,0,17.81,52.0,7200.0,7200.0
instances/ms_exp1_r_0.800000_2.phy,0,10.44,22.6,7200.0,7200.0
instances/ms_exp1_r_0.800000_3.phy,46,7200.0,2148.83,7200.0,7200.0
instances/ms_exp1_r_0.800000_4.phy,6,169.1,323.37,7200.0,7200.0
instances/ms_exp1_r_0.800000_5.phy,23,77.23,109.59,7200.0,7200.0
instances/ms_exp1_r_0.800000_6.phy,19,297.59,275.34,7200.0,7200.0
instances/ms_exp1_r_0.800000_7.phy,71,11.43,16.71,7200.0,7200.0
instances/ms_exp1_r_0.800000_8.phy,38,5118.79,1867.04,7200.0,7200.0
instances/ms_exp1_r_0.800000_9.phy,49,7200.0,1246.14,7200.0,7200.0
instances/ms_exp1_r_0.800000_10.phy,0,4.91,6.53,7200.0,7200.0
instances/ms_exp1_r_0.800000_11.phy,13,7200.0,1795.3,7200.0,7200.0
instances/ms_exp1_r_0.800000_12.phy,46,59.5,88.24,7200.0,7200.0
instances/ms_exp1_r_0.800000_13.phy,60,253.16,287.68,7200.0,7200.0
instances/ms_exp1_r_0.800000_14.phy,47,7200.0,3179.57,7200.0,7200.0
