instance,pmc_enum_time,maxsat_time
instances/ms_exp2_50_4_0.000000_0.phy,0.004,0.038
instances/ms_exp2_50_4_0.000000_1.phy,0.004,0.038
instances/ms_exp2_50_4_0.000000_2.phy,0.003,0.029
instances/ms_exp2_50_4_0.000000_3.phy,0.015,0.032
instances/ms_exp2_50_4_0.000000_4.phy,0.027,0.035
instances/ms_exp2_50_4_1.000000_0.phy,0.032,0.038
instances/ms_exp2_50_4_1.000000_1.phy,0.017,0.034
instances/ms_exp2_50_4_1.000000_2.phy,0.03,0.04
instances/ms_exp2_50_4_1.000000_3.phy,0.042,0.041
instances/ms_exp2_50_4_1.000000_4.phy,0.015,0.038
instances/ms_exp2_50_4_2.000000_0.phy,0.061,0.255
instances/ms_exp2_50_4_2.000000_1.phy,0.044,0.041
instances/ms_exp2_50_4_2.000000_2.phy,0.041,0.036
instances/ms_exp2_50_4_2.000000_3.phy,0.052,0.039
instances/ms_exp2_50_4_2.000000_4.phy,0.048,0.046
instances/ms_exp2_50_4_4.000000_0.phy,0.12,0.077
instances/ms_exp2_50_4_4.000000_1.phy,0.038,0.046
instances/ms_exp2_50_4_4.000000_2.phy,0.061,0.056
instances/ms_exp2_50_4_4.000000_3.phy,0.161,0.168
instances/ms_exp2_50_4_4.000000_4.phy,0.086,0.178
instances/ms_exp2_50_10_0.000000_0.phy,0.052,0.042
instances/ms_exp2_50_10_0.000000_1.phy,0.029,0.038
instances/ms_exp2_50_10_0.000000_2.phy,0.03,0.035
instances/ms_exp2_50_10_0.000000_3.phy,0.024,0.032
instances/ms_exp2_50_10_0.000000_4.phy,0.024,0.033
instances/ms_exp2_50_10_1.000000_0.phy,0.15,0.06
instances/ms_exp2_50_10_1.000000_1.phy,0.787,0.189
instances/ms_exp2_50_10_1.000000_2.phy,0.341,0.205
instances/ms_exp2_50_10_1.000000_3.phy,0.008,0.035
instances/ms_exp2_50_10_1.000000_4.phy,0.008,0.033
instances/ms_exp2_50_10_2.000000_0.phy,0.076,0.062
instances/ms_exp2_50_10_2.000000_1.phy,0.006,0.035
instances/ms_exp2_50_10_2.000000_2.phy,0.349,0.255
