instance,broken_chars,minsep_ip,bt-maxsat,bin_ip,pbo
instances/ms_exp2_50_4_0.000000_0.phy,0,0.04,0.09,0.03,7200.0
instances/ms_exp2_50_4_0.000000_1.phy,0,0.05,0.11,0.01,7200.0
instances/ms_exp2_50_4_0.000000_2.phy,0,0.05,0.07,0.05,7200.0
instances/ms_exp2_50_4_0.000000_3.phy,0,0.05,0.09,0.05,7200.0
instances/ms_exp2_50_4_0.000000_4.phy,0,0.07,0.1,0.16,7200.0
instances/ms_exp2_50_4_1.000000_0.phy,10,0.08,0.11,0.14,7200.0
instances/ms_exp2_50_4_1.000000_1.phy,0,0.07,0.09,0.01,7200.0
instances/ms_exp2_50_4_1.000000_2.phy,4,0.07,0.11,0.14,7200.0
instances/ms_exp2_50_4_1.000000_3.phy,7,0.08,0.15,0.15,7200.0
instances/ms_exp2_50_4_1.000000_4.phy,0,0.06,0.1,0.01,7200.0
instances/ms_exp2_50_4_2.000000_0.phy,9,0.09,0.37,0.3,7200.0
instances/ms_exp2_50_4_2.000000_1.phy,9,0.08,0.13,0.28,7200.0
instances/ms_exp2_50_4_2.000000_2.phy,8,0.08,0.15,0.17,7200.0
instances/ms_exp2_50_4_2.000000_3.phy,8,0.08,0.14,0.11,7200.0
instances/ms_exp2_50_4_2.000000_4.phy,7,0.08,0.14,0.82,7200.0
instances/ms_exp2_50_4_4.000000_0.phy,10,0.17,0.24,0.21,7200.0
instances/ms_exp2_50_4_4.000000_1.phy,10,0.08,0.13,0.11,7200.0
instances/ms_exp2_50_4_4.000000_2.phy,4,0.09,0.17,0.12,7200.0
instances/ms_exp2_50_4_4.000000_3.phy,22,0.43,0.38,0.12,7200.0
instances/ms_exp2_50_4_4.000000_4.phy,12,0.1,0.32,0.48,7200.0
instances/ms_exp2_50_10_0.000000_0.phy,0,0.08,0.15,184.84,7200.0
instances/ms_exp2_50_10_0.000000_1.phy,0,0.08,0.12,27.41,7200.0
instances/ms_exp2_50_10_0.000000_2.phy,0,0.11,0.11,22.16,7200.0
instances/ms_exp2_50_10_0.000000_3.phy,0,0.09,0.1,209.88,7200.0
instances/ms_exp2_50_10_0.000000_4.phy,0,0.08,0.1,0.05,7200.0
instances/ms_exp2_50_10_1.000000_0.phy,0,0.14,0.26,12.19,7200.0
instances/ms_exp2_50_10_1.000000_1.phy,7,2.03,1.03,8.16,7200.0
instances/ms_exp2_50_10_1.000000_2.phy,12,0.98,0.59,2.77,7200.0
instances/ms_exp2_50_10_1.000000_3.phy,0,0.08,0.09,0.11,7200.0
instances/ms_exp2_50_10_1.000000_4.phy,0,0.05,0.08,0.05,7200.0
instances/ms_exp2_50_10_2.000000_0.phy,3,0.13,0.19,2.94,7200.0
instances/ms_exp2_50_10_2.000000_1.phy,0,0.05,0.09,0.05,7200.0
instances/ms_exp2_50_10_2.000000_2.phy,10,0.66,0.65,305.06,7200.0
instances/ms_exp2_50_10_2.000000_3.phy,20,9.19,2.31,564.75,7200.0
instances/ms_exp2_50_10_2.000000_4.phy,1,0.1,0.16,1.6,7200.0
instances/ms_exp2_50_10_4.000000_0.phy,13,0.16,0.27,3.04,7200.0
